Darija_Arabe,Anglais
واخا. بالصح إمباير ستيت بيلدنج كاين هنا فهاد الزنقة. اللي خاصك اتدير هو تمشي حتى لمحطة الطوبيس فديك القنت وتشدو نيشان. راه غادي يكون على يمينك.,"Alright. Actually, the Empire State Building is here on this street. What you need to do is go to the bus station at that corner and take it straight. It will be on your right."
اشنو التمن دهاد الشي؟,What is the price of this?
اشنو بغيتي للتحلية، آيس كريم أو لا عصير متلج؟,"What do you want for dessert, ice cream or a cold juice?"
هاد الشي غير ممكن بالميزانية ديالي.,This is not possible with my budget.
واش خاصنا نطلبو وجبة كاملة؟,Do we have to order a full meal?
لا، احنا مازال ما مستعدينش.,"No, we are not ready yet."
عندي حجز لجوج ليالي.,I have a reservation for two nights.
واش عندك شي ويسكي؟,Do you have any whiskey?
واش تقدر تتاصل بيا إلا لقيتي الأمتعة ديالي؟,Can you contact me if you find my luggage?
واش يمكن لي نشوف رخصة السياقة ديالك، إلا جات على خاطرك؟,"Can I see your drivers license, if you dont mind?"
شكون نقولو كيتاصل، عافاك؟,"Who should we say is calling, please?"
كيفاش كيبان هاد الشي عليا؟,How does this look on me?
لا، قليل بزاف. يمكن يكون واحد من الأسباب اللي كيخليو المرا ماتبقاش فشركة وحدة.,"No, very little. It could be one of the reasons why a woman doesnt stay in one company."
شحال دلوقت كيتطلب نعاود جواز السفر؟,How long does it take to renew a passport?
غلفو، عافاك.,"Wrap it, please."
كيتحسن.,Improving.
حتى أنا.,Me too.
بغيت شوية دالزبدة.,I want some butter.
اخديت الطوبيس الغلط.,I took the wrong bus.
شحال كبير؟,How big?
بغيت نلتاحق بيك من سان دييغو.,Bghit nlta7eq bik mn San Diego
كنت كنفكر ناخد هاد الدرس حتى للأسدوس المقبل.,I was thinking of taking this lesson next semester.
تقدر تطيب هاد اللحم اكتار شوية؟,Can you cook this meat a bit more?
عافاك اتصل بالطبيب.,Please call the doctor.
غادي ندوز راديو الأشعة السينية.,I’m going to get an Xray.
واش كاينة شي بلاصة فين نصرف الفلوس؟,Is there a place to exchange money?
بغيت بيرمانونت.,I want a permanent.
نقدر نحصل على شي حبوب؟,Can I get some pills?
لا، سمح ليا ماننعسش بسباب هاد الأخبار الخايبة.,"No, sorry, I cant sleep because of this bad news."
كيفاش كتحسب رسوم الإلغاء؟,How do you calculate cancellation fees?
الرحلة ديالنا غادي تبدا فواحد وعشرين يوليوز وغادي تسالى نهار سبعة وعشرين.,Our trip will start on July 21st and end on the 27th.
أنا ما مسوقش.,I dont care.
كيفاش كتنطق اسمية هاد المحطة؟,How do you pronounce the name of this station?
أنا غادي نخلص على راسي.,I will pay for myself.
واش المتحف مفتوح اليوم؟,Is the museum open today?
النبيذ ما باردش بزاف. تقدر تديرو يبرد؟,The wine isnt very cold. Can you chill it?
خليني نشوف شي واحد مختالف.,Let me see someone different.
فحال هادا، عافاك.,"In this case, please."
أنا مزيان، كذلك، شكرا.,"Im good as well, thank you."
شحال دلوقت غادي تبقى فنيويورك؟,How long will you stay in New York?
واش يمكن ليا نلغي التحلية اللي طلبت؟ داكشي اللي كليت أصلا كافي.,Can I cancel the dessert I ordered? What I ate is already enough.
واش يمكنليك تحول ليا هاد الحلق لكليبسات؟,Can you convert this earring to clipons?
واش كاين طوبيس دالمطار اللي كيوصل لأوطيل شيراتون؟,Is there an airport bus that goes to the Sheraton Hotel?
اشنو اللي كيهمك دابا؟,What matters to you now?
بغيت التعويض. نقدر نسترجع فلوسي؟,I want a refund. Can I get my money back?
نعم. رقم ربعة سبعة وتمانين.,Yes. Number 487.
غير واحد دابا.,Just one for now.
غير للقدام. غادي تشوف اللافتة . ما بمكنشي تتلف عليك.,Just keep going forward. You’ll see the sign. You can’t miss it.
خاصك تاخده للمكتب ديال تغليف الهدايا.,You need to take it to the giftwrapping office.
شحال كيتطلب دالوقت يتكوي عليه؟,How long does it take to iron it?
كنتمنى نقدر نزور بلادك.,I wish I could visit your country.
قل ليا بصراحة.,Tell me honestly.
اشنو هو تاريخ التسليم؟,What is the delivery date?
ارسم ليا خريطة، عافاك.,"Draw me a map, please."
ما عنديش حجز شي حجز هنا، بلحاق عندك غرفة لجوج ليالي؟,"I dont have a reservation here, but do you have a room for two nights?"
بغيت نغادر دابا. يمكن ليك تهبط الأمتعة ديالي لتحت؟,I want to leave now. Can you take my luggage downstairs?
راه احتمال ما نلقاش هاد المشروب فأي بلاصة أخرى.,Its possible I wont find this drink anywhere else.
فين هي طريق الجنوب؟,Where is the road to the south?
إذا زدتي اشريتي حتى هادا، غادي يولي المبلغ معفي من الرسوم الجمركية.,"If you also buy this one, the amount will become exempt from customs duties."
نقدر نحصل على بطانية؟,Can I get a blanket?
واش قال باللي المحطة الجاية هي الشارع تلاتة وعشرين؟,Did he say that the next stop is 23rd Street?
واش خاصني ندير حجز لمقطورة الأكل؟,Do I need to book a food truck?
مسا الخير. واش باقي عندك شي طاولات لجوج؟,Good evening. Do you still have any tables for two?
اشنو هوما الهوايات ديالك؟,What are your hobbies?
نعم. شحال خصني نحط باش نبدا؟,Yes. How much do I need to deposit to start?
نعم، غادي ناخد بيرة درافت مع المقبلات.,"Yes, I’ll have a draft beer with appetizers."
عافاك نظف هاد البلوزة.,Please clean this sweater.
واش كاينة شي حاجة بغيتي تحيدها؟,Is there anything you want to remove?
نعم، أنا حر.,"Yes, I am free."
اشنو اللي اتسرق؟,What was stolen?
كان اطويل وشعرو ازعر.,"He was tall, and his hair was blond."
نقدر نشوف شهادة التلقيح دبالك؟,Can I see your vaccination certificate?
آش من سجائر؟,Which cigarettes?
حط عليه المنديل وهرسو بهاد المطرقة.,Put the cloth on it and break it with this hammer.
اطوبيس كيزرب فالليل حيت حركة المرور كتكون ناقصة. يعني قليل فاش كيتأخر.,"The bus moves faster at night because traffic is lighter, meaning it rarely gets delayed."
فيا القبط هادي خمسيام.,Ive been constipated for five days.
أكيد. غادي ناخدك لتما.,Sure. Ill take you there.
واش كتسافر بزاف؟,Do you travel a lot?
يمكن ليك تسلفني واحد الحبل دالجر؟,Can you lend me a rope for pulling?
دارك كبيرة بزاف.,Your house is very big.
أنا جيت من الولايات المتحدة الأمريكية.,I came from the United States of America.
نقدر ناخد أتاي فبلاصة القهوة؟,Can I have tea instead of coffee?
ماكانضنش اتلاقينا قبل.,I dont think weve met before.
واش عندك شي بطاقة بريدية؟,Do you have a postcard?
واش تقدر تسايفط ليا هاد الرسالة؟,Can you send me this message?
عندي تذكرة طيران لسان فرانسيسكو.,I have a plane ticket to San Francisco.
بغيت شي قهوة.,I want some coffee.
فين كاينة القنصلية اليابانية؟,Where is the Japanese consulate?
بغيت شوية دالروز.,I want some rice.
نعم، تماك. ها القطار جاي. نهارك سعيد.,"Yes, there. The train is coming. Have a nice day."
نقدر ناخد شوية دالموتارد؟,Can I have some mustard?
تقدر تصيفط فاكس لهاد الرقم؟,Can you send a fax to this number?
